asn;description
201760;business - All AS from AT - ANDREAS-AS - Andreas Pleschutznig, AT
202516;small-telco - All AS from AT - web-crossing - web-crossing GmbH, AT
202559;other - All AS from AT - MATT-AS - Matteo Fruhwald, AT
202616;local-telco - All AS from AT - WE-FTTH-AS - Wien Energie GmbH, AT
202718;it services - All AS from AT - sigmacloud - sigmavista it consulting gmbh, AT
202745;business - All AS from AT - linkedin - LinkedIn Austria GmbH, AT
202928;other - All AS from AT - Z-IX-AS - Armin Fisslthaler, AT
203358;it services - All AS from AT - INCOS-Stueckler - Guenther Stueckler, AT
203541;local-telco - All AS from AT - ATKTVPILLERSEE - Kabelfernsehen Pillersee GmbH, AT
204081;it services - All AS from AT - imendo - IMENDO GmbH, AT
204136;other - All AS from AT - SILENT-GHOST-AS - Kevin Holly trading as Silent Ghost e.U., AT
204410;local-telco - All AS from AT - feistritzwerke-steweag - Feistritzwerke-STEWEAG GmbH, AT
204419;it services - All AS from AT - ITNS - ITNS GmbH, AT
204560;small-telco - All AS from AT - LENZEDER-AS - Lenzeder Gesellschaft m.b.H & Co KG, AT
204659;it services - All AS from AT - ANLX-AS - Antares-NetlogiX Netzwerkberatung GmbH, AT
205202;it services - All AS from AT - CLOUDFLIGHT - Cloudflight Austria GmbH, AT
205243;it services - All AS from AT - CLOUDNOW-AS - CloudNow GmbH, AT
205584;business - All AS from AT - CASHPOINT-AS - CASHPOINT Solutions GmbH, AT
205728;banking - All AS from AT - at-cf-it - AVAFIN IT GmbH, AT
205965;other - All AS from AT - Jason-Ruhittel - Jason Ruhittel, AT
205989;it services - All AS from AT - RELAXT - relaxt Webdienstleistungsagentur GmbH, AT
206021;business - All AS from AT - WKSTMK - Wirtschaftskammer Steiermark, AT
206055;it services - All AS from AT - Specure - Specure GmbH, AT
206128;other - All AS from AT - Dioezesane-IT - Dioezese Linz - Katholische Kirche in Oberoesterreich, AT
206159;other - All AS from AT - VAO-AS - Verkehrsauskunft Oesterreich VAO GmbH, AT
206228;manufacturing - All AS from AT - ANDRITZ01 - Andritz AG, AT
206298;local-telco - All AS from AT - RKM-AS - RKM Regional Kabel TV Moelltal und Telekommunikation GmbH, AT
206672;business - All AS from AT - Logispin-AS - Logispin Austria GmbH, AT
207021;domains - All AS from AT - RCODEZERO-ANYCAST-SEC2 - ipcom GmbH, AT
207203;hosting - All AS from AT - TIMEWARP-AS - TIMEWARP IT Consulting GmbH, AT
207299;other - All AS from AT - PETOE - Michael Petoe, AT
207426;other - All AS from AT - GSS - GSS Media Services GmbH, AT
207760;other - All AS from AT - AS_INTICHAR - Mag. phil. Lorenz Intichar, AT
207791;it services - All AS from AT - NTBS-AS - NTB SOLUTIONS GmbH, AT
207869;it services - All AS from AT - GANZRUND-AT-AS - GANZRUND Informatik GmbH, AT
207962;small-telco - All AS from AT - AS5586 - Kroell Bernhard, AT
208094;other - All AS from AT - EDV-SCHERER - Christoph Scherer trading as EDV-SCHERER, AT
208185;other - All AS from AT - HKS-AS - Mathias Muehlbacher, AT
208245;it services - All AS from AT - BECHTLE-AT - Bechtle Austria GmbH, AT
208315;manufacturing - All AS from AT - frauscher - Frauscher Sensor Technology Group GmbH, AT
208323;it services - All AS from AT - APPLIEDPRIVACY-AS - Foundation for Applied Privacy, AT
208419;other - All AS from AT - EISENBERGER - E+H Rechtsanwaelte GmbH, AT
208441;government - All AS from AT - LAND-SALZBURG-AS - Amt der Salzburger Landesregierung, AT
208689;hosting - All AS from AT - HELLOLY - helloly GmbH, AT
208794;other - All AS from AT - BRANDST-AS - Wolfgang Michael Brandstaetter, AT
209050;hosting - All AS from AT - DIGIMAGICAL - Digimagical GmbH, AT
209934;small-telco - All AS from AT - ZLINE - WIERER GmbH & Co KG, AT
210305;other - All AS from AT - ARTNER-AS - Erwin Artner, AT
210623;other - All AS from AT - NOBAQ - Nikolaus Hammler, AT
210626;small-telco - All AS from AT - LIPICER-AS - Lipicer KG, AT
210775;it services - All AS from AT - niceshops - Niceshops GmbH, AT
210863;hosting - All AS from AT - VELARTIS - Velartis GmbH, AT
210918;other - All AS from AT - KERNSTOCK - Patrik Kernstock, AT
210947;local-telco - All AS from AT - ZUGSPITZNET-AS - ZugspitzNet GmbH, AT
211060;transportation - All AS from AT - VERKEHRSVERBUND-OST-REGION - VERKEHRSVERBUND OST REGION (VOR) GESMBH, AT
211071;media - All AS from AT - BAHA-AS - baha GmbH, AT
211099;banking - All AS from AT - MDRI-AS - Raiffeisen Informatik GmbH & Co KG, AT
211151;other - All AS from AT - STRAUSS-AS - Markus Strauss, AT
211196;small-telco - All AS from AT - MTEL-AS - Mtel Austria GmbH, AT
211510;small-telco - All AS from AT - RDI-AT - Roman Franz Dissauer trading as RDI Solutions e.U., AT
211582;it services - All AS from AT - ecomDATA-AS - ecomDATA GmbH, AT
211629;other - All AS from AT - WOB-AS - WOB Beteiligungs Gmbh, AT
211666;other - All AS from AT - EBSWIEN-AS - ebswien klaeranlage & tierservice Ges.m.b.H, AT
211763;hosting - All AS from AT - CPS-IT - CPS - IT GmbH, AT
212131;small-telco - All AS from AT - ASPSMEDIA - PSMEDIA LTD&CoKG, AT
212640;hosting - All AS from AT - NEO-IT-AS - neo-it GmbH, AT
212704;other - All AS from AT - AS-DXLD - Daniel Groeber, AT
212774;other - All AS from AT - ASMEINL - Meinl Internet Commerce GmbH, AT
212796;small-telco - All AS from AT - SmartFiber-AS - SmartFiber GmbH, AT
212813;business - All AS from AT - Lindner - Lindner-Recyclingtech GmbH, AT
212828;it services - All AS from AT - TWOPEAKS - Tom Hatzer trading as twopeaks digital e.U., AT
213080;other - All AS from AT - GESPAG - Oberoesterreichische Gesundheitsholding GmbH, AT
215788;it services - All AS from AT - MADH - Dohnal Markus, AT
216258;it services - All AS from AT - eox-faster - EOX IT Services GmbH, AT
216369;other - All AS from AT - jkdev - Jakob Kampichler, AT
216441;other - All AS from AT - PLABS - Jakob Riepler, AT
216457;it services - All AS from AT - IPK - Patrick Kaltenboeck trading as IPK IT-Solutions e.U., AT
